year,title,meeting,location,authors
2019,Identifying factors of satisfaction among Nebraska hunting activities,Nebraska Chapter of The Wildlife Society,"York, NE","M. P. Gruntorad, J. J. Lusk, M. P. Vrtiska,  C. J. Chizinski"
2019,Using Mark-Recapture Methods to Model Ducks Unlimited Member Behavior,The Wildlife Society Nebraska Chapter Annual Meeting,"York, NE","K. Graham, C. J. Chizinski, M. P. Vrtiska, D.  Humburg,  A. Raedeke"
2018,Expectations and satisfaction of waterfowl hunters across the Central Flyway: what waterfowl hunters want and did they attain it?,25th Annual Conference of the Wildlife Society,"Cleveland, OH","M. P. Gruntorad, C. J. Chizinski,  M. P. Vrtiska"
2018,"Nebraska angler motivations, wildlife value orientations, and barriers to hunting",Annual Meeting of the Wildlife Society,"Cleveland, OH","K. A. Graham, M. P. Hinrichs, A. S. Grams,  C. J. Chizinski"
2018,Transitions among sportsperson permit holders and the influence of cross-buying behavior,Pathways Human Dimensions Conference,"Goslar, Germany","C. J. Chizinski, N. P. Price, K. L. Pope,  J. J. Fontaine"
2018,Sportsperson's Motivations and Their Barriers Toward Waterfowl Hunting,Pathways Human Dimensions Conference,"Goslar, Germany","M. P. Hinrichs, K. A. Graham, N. Price, C. J. Chizinski,  M. P. Vrtiska"
2018,Size matters for angler behavior,Annual Meeting of the  American Fisheries Society,"Atlantic City, NJ","M. A. Kaemingk, C. J. Chizinski, C. R. Allen,  K. L. Pope"
2018,Angler behavior: A landscape perspective,Annual Meeting of the  American Fisheries Society,"Atlantic City, NJ","C. N. Ruskamp, M. A. Kaemingk, C. J. Chizinski,  K. L. Pope"
2018,Cross-buying behavior and future purchase tendencies of Nebraska anglers,Annual Meeting of the Nebraska Chapter of the American Fisheries Society,"Lincoln, NE","C. J. Chizinski, N. Price, J. J. Fontaine,  K. L. Pope"
2018,Permit buying behavior of Nebraska paddlefish anglers,Annual Meeting of the Nebraska Chapter of the American Fisheries Society,"Lincoln, NE","M. Gruntorad, C. J. Chizinski, N. Price, J. J. Fontaine,  K. L. Pope"
2018,Implementing an adaptive management framework for waterfowl hunter Management,Midwest Fish and Wildlife Conference,"Milwaukee, WI","K. A. Graham, C. J. Chizinski,  M. P. Vrtiska"
2018,Nebraska elk hunting constraints: perceived and realized,Midwest Fish and Wildlife Conference,"Milwaukee, WI","M. Gruntorad,  C. J. Chizinski"
2018,Motivations and characteristics of participants in a tournament grouse hunt,Midwest Fish and Wildlife Conference,"Milwaukee, WI","A. S. Grams,  C. J. Chizinski"
2018,Retaining Nebraska waterfowl hunters:  where do they go?  ,Midwest Fish and Wildlife Conference,"Milwaukee, WI","M. P. Hinrichs, K. A. Graham, N. B. Price, C. J. Chizinski,  M. P. Vrtiska"
2018,Retention of youth deer hunters in Nebraska,Midwest Fish and Wildlife Conference,"Milwaukee, WI","N. B. Price, C. J. Chizinski, K. L. Pope,  J. J. Fontaine"
2018,Bridging the social-ecological gap with anglersheds,Midwest Fish and Wildlife Conference,"Milwaukee, WI","C. N. Ruskamp, M. A. Kaemingk, C. J. Chizinski,  K. L. Pope"
2018,Time-lapse and motion-detection photography to assess recreational fisheries,Canadian Conference for Fisheries Research,"Edmonton, Alberta, Canada","K. L. Pope, C. J. Chizinski,  M. A. Kaemingk"
2017,Permit Associations of Nebraska Sportspersons,Pathways Human Dimensions Conference,"Estes Park, CO","A. S. Grams, N. P. Price, N, C. J. Chizinski, K. L. Pope,  J. J. Fontaine"
2017,Constraints to hunting bull and cow elk in Nebraska,Pathways Human Dimensions Conference,"Estes Park, CO","M. P. Gruntorad,  C. J. Chizinski"
2017,Influences on Waterfowl Hunter Participation,Central Flyway Technical Committee Meeting,"Manhattan, KS","M. P. Hinrichs, C. J. Chizinski,  M. P. Vrtiska"
2017,Exploring Linkages between Hunting and Fishing Permit Sales,Midwest Fish and Wildlife Conference,"Lincoln, NE","A. S. Grams, N. P. Price, N, C. J. Chizinski, K. L. Pope,  J. J. Fontaine"
2017,Are fish avoiding you? Behavioral syndromes and fishing-induced behavioral change in Ambloplites rupestris,Midwest Fish and Wildlife Conference,"Lincoln, NE","A. D. Fedele, C. J. Chizinski, J. J. Fontaine,  K. L. Pope"
2017,Influences of catch-and-release angling on fish behavior,Annual Meeting of the  American Fisheries Society,"Tampa, FL","A. D. Fedele, C.J. Chizinski, J.J. Fontaine, D. Shizuka,  K.L. Pope"
2017,Residency and deer hunting in Nebraska,Midwest Fish and Wildlife Conference,"Lincoln, NE","M. P. Gruntorad,  C. J. Chizinski"
2016,The importance of hunter identity,Annual Meeting of the Wildlife Society,"Raleigh, NC","A. S. Grams,  C. J. Chizinski"
2016,Behavioral syndromes and learned hook avoidance in Ambloplites rupestris,Annual Meeting of the  American Fisheries Society,"Kansas City, MO","A. D. Fedele, C. J. Chizinski, J. J. Fontaine,  K. L. Pope"
2016,Realized and stated preferences of bank angler fishing location within a waterbody,Annual Meeting of the  American Fisheries Society,"Kansas City, MO","B. S. Harmon, C. J. Chizinski,  K. L. Pope"
2016,Individual-based model describes behavioral feedbacks between anglers and sportfish,Annual Meeting of the  American Fisheries Society,"Kansas City, MO","N. W. Cole, A. D. Fedele, C. J. Chizinski,  K. L. Pope"
2016,Fishery induced learning and behavioral syndromes in Ambloplites rupestris,Annnual Conference of the Animal Behavior Society,"Columbia, MO","A. D. Fedele, C. J. Chizinski, J. J. Fontaine,  K. L. Pope"
2016,Simulating behavioral feedbacks between human predators and fish within a recreational fishery,Annnual Conference of the Animal Behavior Society,"Columbia, MO","N. W. Cole, A. D. Fedele, C. J. Chizinski,  K. L. Pope"
2016,The seasonal impact of weather on recreational waterbody use,Joint Annual Meeting of the Kansas and Nebraska Chapters of the American Fisheries Society,"Manhattan, KS","N. W. Cole, C. J. Chizinski,  K. L. Pope"
2016,The effect of environmental features on angler fishing location: a preliminary analysis of two Nebraska reservoirs,Joint Annual Meeting of the Kansas and Nebraska Chapters of the American Fisheries Society,"Manhattan, KS","B. S. Harmon, C. J. Chizinski,  K. L. Pope"
2016,Caught-and-released fish may alter behavior in response to predatory anglers,Joint Annual Meeting of the Kansas and Nebraska Chapters of the American Fisheries Society,"Manhattan, KS","A. D. Fedele, N. W. Cole, C. J. Chizinski,  K. L. Pope"
2016,Caught-and-released fish may alter behavior in response to predatory anglers,Gordon Research Conference:  Predator-Prey Interactions,"Ventura, CA","A. D. Fedele, N. W. Cole, C. J. Chizinski,  K. L. Pope"
2015,Accuracy and precision: implications of home range and sample design on abundance estimates,Annual Meeting of the  American Fisheries Society,"Portland, OR","C. J. Chizinski, L. K. Kowalewski, K. L. Pope, M. A. Pegg,  L. A. Powell"
2015,Use of consumer-grade sonar units with generalized N-mixture models to estimate fish abundance,Annual Meeting of the  American Fisheries Society,"Portland, OR","N. T. Stewart, L. K. Kowalewski, C. J. Chizinski, K. L. Pope, M. A. Pegg,  L. A. Powell"
2015,Angler distribution in response to rainbow trout stocked in a put-and-take fishery,Annual Meeting of the  American Fisheries Society,"Portland, OR","B. S. Harmon, D. R. Martin, C. J. Chizinski,  K. L. Pope"
2015,Individual-based model describes behavioral feedbacks between anglers and sportfish,Annual Meeting of the  American Fisheries Society,"Portland, OR","N. W. Cole, A. D. Fedele, C. J. Chizinski,  K. L. Pope"
2015,Learned behavior as a potential factor in reduced catchability,Annual Meeting of the  American Fisheries Society,"Portland, OR","A. D. Fedele, N. W. Cole, C. J. Chizinski,  K. L. Pope"
2015,"The use of trail cameras to assess angler use:  processing time, cost effectiveness and limitations",Annual Meeting of the  American Fisheries Society,"Portland, OR","T. J. Barada, J. J. Jackson,  C. J. Chizinski"
2015,Angler-catch networks over space and time,EIFAAC International Symposium on Recreational fisheries: Managing freshwater recreational fisheries in an era of change,"Lillehammer, Norway","C. J. Chizinski, D. R. Martin,  K. L. Pope"
2015,Assessment of ecosystem services using data collected from anglers,EIFAAC International Symposium on Recreational fisheries: Managing freshwater recreational fisheries in an era of change,"Lillehammer, Norway","K. L. Pope, C. J. Chizinski,  M. A. Pegg"
2015,Effectiveness of low-dose-rotenone application for controlling White Perch and Gizzard Shad,Annual Meeting of the Nebraska Chapter of the American Fisheries Society,"Nebraska City, NE","N. T. Stewart, L. K. Kowalewski, C. J. Chizinski, K. L. Pope,  J. J. Jackson"
2015,The influence of white perch (Morone americana) on angling in Branched Oak Reservoir from 1994-2014,Annual Meeting of the Nebraska Chapter of the American Fisheries Society,"Nebraska City, NE","C. J. Chizinski, N. T. Stewart, K. L. Pope, D. R. Martin,  J. J. Jackson"
2015,Catchability outcomes for naïve fish populations after the introduction of recreational angling,Annual Meeting of the Nebraska Chapter of the American Fisheries Society,"Nebraska City, NE","N. W. Cole, A. D. Fedele, C. J. Chizinski,  K. L. Pope"
2015,Change in catchability of harvested and non-harvested sportfish in a naive population,Midwest Fish and Wildlife Conference,"Indianapolis, IA","A. D. Fedele, N. W. Cole, C. J. Chizinski,  K. L. Pope"
2015,The influence of a fish invasion on a recreational angling network,Midwest Fish and Wildlife Conference,"Indianapolis, IA","C. J. Chizinski, N. T. Stewart, K. L. Pope, D. R. Martin,  J. J. Jackson"
2015,Diel distribution of superabundant fish in a Great Plains flood-control reservoir,Midwest Fish and Wildlife Conference,"Indianapolis, IA","N. T. Stewart, L. K. Kowalewski, C. J. Chizinski,  K. L. Pope"
2014,Estimating the number of recreational fishers for a regional fishery,World Recreational Fishing Conference,"S�o Paul, Brazil","K. L. Pope, D. R. Martin, C. J. Chizinski, M. A. Pegg,  L. Powell"
2014,White perch and gizzard shad spatial distribution in a Great Plains flood-control reservoir,Ecology of Fish in Lakes and Reservoirs (ECOFIL),"_esk� Bud_jovice, Czech Republic","N. T. Stewart, L. K. Kowalewski, C. J. Chizinski,  K. L. Pope"
2014,Fish-community effects of recreational fishing in freshwater and marine systems,Annual Meeting of the  American Fisheries Society,"Quebec City, Quebec, Canada","C. J. Chizinski, D. R. Martin, K. L. Pope,  D. Shizuka"
2014,Potential fish-community effects of recreational fishing in freshwater and marine systems,Second Symposium on Fishery Dependent Information,"Rome, Italy","D. R. Martin, C. J. Chizinski,  K. L. Pope"
2013,What drives the recruitment of one of the world's most invasive fish: an analysis of common carp recruitment across three states and eight ecoregions,Annual Meeting of the  American Fisheries Society,"Little Rock, AR","P. G. Bajer, T. Cross, M. J. Weber,  C. J. Chizinski"
2013,Reproductive ecology of female walleye during the spawning season,Annual Meeting of the Nebraska Chapter of the American Fisheries Society,"Gretna, NE","J. A. DeBoer, K. L. Pope, C. J. Chizinski,  J. J. Fontaine"
2013,Influence of sampling effort on accuracy and precision of point-count population estimates,Annual Meeting of the Nebraska Chapter of the American Fisheries Society,"Gretna, NE","L. K. Kowalewski, C. J. Chizinski, L. A. Powell, M. A. Pegg,  K. L. Pope"
2013,Avian and bat fatality at a repowered wind farm in the Altamont Pass Wind Resource Area,Annual Meeting of the Western Section of The Wildlife Society,"Sacremento, CA","L. Brudney, C. J. Chizinski,  R. Hernandez"
2012,"When creel limits change, size matters",Midwest Fish and Wildlife Conference,"Wichita, KS","C. J. Chizinski Hurley K., D. R. Martin,  K. L. Pope"
2012,Species sought is a defining characteristic of most angler groups,Midwest Fish and Wildlife Conference,"Wichita, KS","C. W. Wiley, C. J. Chizinski, D. R. Martin,  K. L. Pope"
2012,Influence of sampling effort on accuracy and precision of point-count population estimates,Midwest Fish and Wildlife Conference,"Wichita, KS","L. K. Kowalewski, C. J. Chizinski, L. A. Powell,  K. L. Pope"
2011,Partitioning angler effort and catch in a complex system,Midwest Fish and Wildlife Conference,"Des Moines, IA","C. J. Chizinski, K. L. Pope,  J. J. Schuckman"
2011,The influence of stocking and habitat variability on channel catfish populations in Nebraska,Midwest Fish and Wildlife Conference,"Des Moines, IA","L. K. Chizinski, K. L. Pope,  C. J. Chizinski"
2011,Using the Judas technique to locate and remove invasive common carp,Annual Meeting of the  American Fisheries Society,"Seattle, WA","P. B. Bajer, C. J. Chizinski,  P. W. Sorensen"
2010,Spring spawning movements of the common carp in Minnesota,Midwest Fish and Wildlife Conference,"Minneapolis, MN","C. J. Chizinski, P. B. Bajer, P. W. Sorensen"
2010,"Dense, winter time aggregations of common carp in Minnesota","oint Meeting of the Minnesota Chapters of the American Fisheries Society, Society for Conservation Biology, Society of American Foresters, and The Wildlife Society","Nisswa, MN","C. J. Chizinski, P. B. Bajer,  P. W. Sorensen"
2010,Winter hypoxia drives recruitment of the invasive common carp by eliminating native predatory fishes that forage on carp eggs,"oint Meeting of the Minnesota Chapters of the American Fisheries Society, Society for Conservation Biology, Society of American Foresters, and The Wildlife Society","Nisswa, MN","P. B. Bajer, J. Silbernagel, C. J. Chizinski,  P. W. Sorensen"
2010,Outbreeding depression and genetic diversity in reintroduced populations of the slimy sculpin,"oint Meeting of the Minnesota Chapters of the American Fisheries Society, Society for Conservation Biology, Society of American Foresters, and The Wildlife Society","Nisswa, MN","D. D. Huff, L. M. Miller, C. J. Chizinski,  B. Vondracek"
2010,The impact of rare taxa on measures of fish index biotic integrity (IBI) in Minnesota,Annual Meeting of the  American Fisheries Society,"Nashville, TN","C. J. Chizinski, H. Wan, C. L. Dolph, B. Vondracek,  B. Wilson"
2009,Native fish introductions: Why is there variation in persistence among ancestral groups of slimy sculpin?,Annual Meeting for the Society of Conservation Biology and International Congress for Conservation Biology,"Beijing, China","D. D. Huff, L. M. Miller, C. J. Chizinski,  B. Vondracek"
2009,"The influence of riparian buffers on bird, aquatic invertebrate, and fish assemblages.",Midwest Fish and Wildlife Conference,"Columbus, OH","C. J. Chizinski, A. C. Peterson,  C. Blinn"
2008,Effects of riparian forest harvesting on the aquatic ecosystem in northern Minnesota streams,Annual Meeting of the Ecological Society of America,"Milwaukee, WI","C. J. Chizinski, D. Atuke, N. Hemstad, E. Merten, B. Vondracek, R. M. Newman,  C. Blinn"
2008,"Breeding bird community response to harvest in riparian buffers in northern Minnesota, USA",Annual Meeting of the American Ornithologists' Union,"Portland, OR","A. C. Peterson, C. J. Chizinski,  G. J. Niemi"
2007,Morphological plasticity in white perch,Texas Tech Annual Graduate Student Poster Competition,"Lubbock, TX","C. J. Chizinski, K. L. Pope,  R. E. Strauss"
2007,Variation in life-history traits in Centrarchidae,Annual Meeting of the Southern Division of the American Fisheries Society,"Memphis, TN","C. J. Chizinski, K. L. Pope,  G.R. Wilde"
2007,Morphological differences between green sunfish from stunted and non-stunted populations,Annual Meeting of the Southern Division of the American Fisheries Society,"Memphis, TN","C. Sanchez, C. J. Chizinski,  K. L. Pope, and R. E. Strauss"
2006,Life-history traits in resource-limited populations of white perch,Midwest Fish and Wildlife Conference,"Omaha, NE","C. J. Chizinski,  K. L. Pope"
2006,Latitudinal variation of life-history traits in Centrarchidae,Midwest Fish and Wildlife Conference,"Omaha, NE","C. J. Chizinski,  K. L. Pope"
2006,"Life-history traits in resource-limited populations of white perch, Morone americana",Annual Meeting of the  American Fisheries Society,"Lake Placid, NY","C. J. Chizinski,  K. L. Pope"
2006,Bioenergetic model for zebrafish and application to ecotoxicology,Annual Meeting of the Southern Division of the American Fisheries Society,"San Antonio, TX","C. J. Chizinski, B. Sharma, S. Mukhi, K. L. Pope,  R. Patiño"
2005,Life-history characteristics of stunted fish,Centrachid Technical Meeting,"Prairie du Chien, WI",C. J. and K. L. Pope. Chizinski
2005,Multiple hypothesis testing of fish incidence patterns in an urban ecosystem,Annual Meeting of the Texas Chapter of the American Fisheries Society,"Grapevine, TX","C. J. Chizinski, C. L. Higgins,  K. L. Pope"
2005,Food habits of the inland silverside,Annual Meeting of the Texas Chapter of the American Fisheries Society,"Grapevine, TX","M. Longoria, C. J. Chizinski, C. G. Huber,  K. L. Pope"
2004,Multiple hypothesis testing of fish incidence patterns in an urban ecosystem,Annual Meeting of the  American Fisheries Society,"Madison, WI","C. J. Chizinski, C. L. Higgins,  K. L. Pope"
2004,Economic value of fishing at a low-use reservoir,Annual Meeting of the Southern Division of the American Fisheries Society,"Oklahoma City, OK","C. J. Chizinski, K. L. Pope, D. B. Willis, G. R. Wilde,  E. J. Rossman"
2004,Lab evaluation of a bioenergetics model for Menidia beryllina,Annual Meeting of the Southern Division of the American Fisheries Society,"Oklahoma City, OK","C. G. Huber, C. J. Chizinski,  K. L. Pope"
2004,Economic value of fishing at a low-use reservoir,Annual Meeting of the Texas Chapter of the American Fisheries Society,"College Station, TX","C. J. Chizinski, K. L. Pope, D. B. Willis, G. R. Wilde,  E. J. Rossman"
2004,Validation of a bioenergetics model for Menidia beryllina,Annual Meeting of the Texas Chapter of the American Fisheries Society,"College Station, TX","C. G. Huber, C. J. Chizinski,  K. L. Pope"
2003,Economic value of fishing at a low-use reservoir,The Texas Water Summit:  Focusing on Water for Agriculture and Natural Resources,"Austin, TX","C. J. Chizinski, K. L. Pope, D. B. Willis, G. R. Wilde,  E. J. Rossman"
2003,Bioenergetics model for Menidia beryllina,Texas Tech University Honors College Science Day,"Lubbock, TX","C. G. Huber, C. J. Chizinski,  K. L. Pope"
2003,Inland silverside respiration model,Annual Meeting of the Texas Chapter of the American Fisheries Society,"Galveston, TX","C. G. Huber, C. J. Chizinski,  K. L. Pope"
2003,Inland silversides bioenergetics model,Annual Meeting of the  American Fisheries Society,"Quebec City, Quebec, Canada","C. G. Huber, C. J. Chizinski,  K. L. Pope"
2003,Food habits of largemouth and spotted bass in two New Mexico reservoirs,Joint Annual Meeting of the Arizona and New Mexico Chapters of the American Fisheries Society and The Wildlife Society,"Gallup, NM","F. Martinez Jr., C. J. Chizinski, K. L. Pope, C. L. Harthorn,  S. R. Denny"
2003,Food habits of largemouth bass and spotted bass,Annual Meeting of the Texas Chapter of the American Fisheries Society,"Junction, TX","F. Martinez Jr., C. J. Chizinski, K. L. Pope, C. L. Harthorn,  S. R. Denny"
2002,Food habits of largemouth and spotted bass in two New Mexico reservoirs,Annual Meeting of the  American Fisheries Society,"Baltimore, MD","F. Martinez Jr., C. J. Chizinski, K. L. Pope, C. L. Harthorn,  S. R. Denny"
2002,Economic value and impact of water-based recreation for a west Texas reservoir,"The Great Plains Foundation Symposium 2002:  Protection and Utilization of Air and Water Resources of the Great Plains, The Great Plains Foundation","Amarillo, TX","C. J. Chizinski, K. L. Pope, D. B. Willis,  G. R. Wilde"
2002,Effects of natural levels of temperature and food availability on the growth of young-of-the-year green sunfish,Annual Meeting of the Texas Chapter of the American Fisheries Society,"Junction, TX",C. J. and K. L. Pope. Chizinski
2002,Effects of changes in site characteristics on user value of water-based recreation at a west Texas reservoir,Annual Meeting of the Texas Chapter of the American Fisheries Society,"Junction, TX","C. J. Chizinski, K. L. Pope, D. B. Willis, G. R. Wilde,  E. J. Rossman"
2002,"Economic valuation of water quality characteristics on water-based recreation at Lake Kemp, Texas",Annual Meeting of the Souther Argriculture Economics Association,"Orlando, FL","C. J. Chizinski, D. B. Willis, K. L. Pope,  G. R. Wilde"
1999,Influence of hatch date on the growth of the Cunner Tautogolabrus adspersus,Biennial Conference on the Biology of the Tautog and Cunner,"New London, CT","C. J. Chizinski,  E. B. Schultz"
